2, 50880, Note_on_c, 0, 85, 0
2, 50880, Note_on_c, 0, 86, 127
2, 50940, Note_on_c, 0, 86, 0
2, 50940, Note_on_c, 0, 93, 127
2, 51000, Note_on_c, 0, 93, 0
2, 51000, Note_on_c, 0, 90, 127
2, 51060, Note_on_c, 0, 90, 0
2, 51060, Note_on_c, 0, 88, 127
2, 51120, Note_on_c, 0, 88, 0
2, 51120, Note_on_c, 0, 90, 127
2, 51180, Note_on_c, 0, 90, 0
2, 51180, Note_on_c, 0, 92, 127
2, 51240, Note_on_c, 0, 92, 0
2, 51240, Note_on_c, 0, 88, 127
2, 51300, Note_on_c, 0, 88, 0
2, 51300, Note_on_c, 0, 83, 127
2, 51360, Note_on_c, 0, 83, 0
2, 51600, Note_on_c, 0, 90, 127
2, 51660, Note_on_c, 0, 90, 0
2, 51660, Note_on_c, 0, 92, 127
2, 51720, Note_on_c, 0, 92, 0
2, 51720, Note_on_c, 0, 88, 127
2, 51780, Note_on_c, 0, 88, 0
2, 51780, Note_on_c, 0, 83, 127
2, 51840, Note_on_c, 0, 83, 0
2, 52320, Note_on_c, 0, 90, 127
2, 52380, Note_on_c, 0, 90, 0
2, 52380, Note_on_c, 0, 92, 127
2, 52440, Note_on_c, 0, 92, 0
2, 52440, Note_on_c, 0, 88, 127
2, 52500, Note_on_c, 0, 88, 0
2, 52500, Note_on_c, 0, 83, 127
2, 52560, Note_on_c, 0, 83, 0
2, 53040, Note_on_c, 0, 90, 127
2, 53100, Note_on_c, 0, 90, 0
2, 53100, Note_on_c, 0, 92, 127
2, 53160, Note_on_c, 0, 92, 0
2, 53160, Note_on_c, 0, 88, 127
2, 53220, Note_on_c, 0, 88, 0
2, 53220, Note_on_c, 0, 83, 127
2, 53280, Note_on_c, 0, 83, 0
2, 53280, Note_on_c, 0, 93, 127
2, 53600, Note_on_c, 0, 93, 0
2, 53732, Note_on_c, 0, 93, 127
2, 53760, Note_on_c, 0, 92, 127
2, 53762, Note_on_c, 0, 93, 0
2, 53920, Note_on_c, 0, 92, 0
2, 54000, Note_on_c, 0, 90, 127
2, 54160, Note_on_c, 0, 90, 0
2, 54240, Note_on_c, 0, 100, 127
2, 54329, Note_on_c, 0, 100, 0
2, 54360, Note_on_c, 0, 90, 127
2, 54449, Note_on_c, 0, 90, 0
2, 54480, Note_on_c, 0, 90, 127
2, 54545, Note_on_c, 0, 90, 0
2, 54560, Note_on_c, 0, 95, 127
2, 54621, Note_on_c, 0, 95, 0
2, 54640, Note_on_c, 0, 92, 127
2, 54701, Note_on_c, 0, 92, 0
2, 54720, Note_on_c, 0, 97, 127
2, 54800, Note_on_c, 0, 97, 0
2, 54840, Note_on_c, 0, 95, 127
2, 54920, Note_on_c, 0, 95, 0
2, 54960, Note_on_c, 0, 95, 127
2, 55040, Note_on_c, 0, 95, 0
2, 55080, Note_on_c, 0, 93, 127
2, 55160, Note_on_c, 0, 93, 0
2, 55200, Note_on_c, 0, 92, 127
2, 55532, Note_on_c, 0, 95, 127
2, 55556, Note_on_c, 0, 95, 0
2, 55560, Note_on_c, 0, 93, 127
2, 55575, Note_on_c, 0, 92, 0
2, 55624, Note_on_c, 0, 93, 0
2, 55680, Note_on_c, 0, 90, 127
2, 55824, Note_on_c, 0, 90, 0
2, 55840, Note_on_c, 0, 88, 127
2, 55984, Note_on_c, 0, 88, 0
2, 56000, Note_on_c, 0, 88, 127
2, 56144, Note_on_c, 0, 88, 0
2, 56160, Note_on_c, 0, 90, 127
2, 56640, Note_on_c, 0, 90, 0
2, 56640, Note_on_c, 0, 78, 127
2, 56700, Note_on_c, 0, 78, 0
2, 56700, Note_on_c, 0, 83, 127
2, 56760, Note_on_c, 0, 83, 0
2, 56760, Note_on_c, 0, 83, 127
2, 56820, Note_on_c, 0, 83, 0
2, 56820, Note_on_c, 0, 81, 127
2, 56880, Note_on_c, 0, 81, 0
2, 56880, Note_on_c, 0, 83, 127
2, 57180, Note_on_c, 0, 83, 0
2, 57215, Note_on_c, 0, 85, 127
2, 57240, Note_on_c, 0, 83, 127
2, 57253, Note_on_c, 0, 85, 0
2, 57300, Note_on_c, 0, 83, 0
2, 57360, Note_on_c, 0, 78, 127
2, 57720, Note_on_c, 0, 78, 0
2, 57720, Note_on_c, 0, 80, 127
2, 57960, Note_on_c, 0, 80, 0
2, 57960, Note_on_c, 0, 71, 127
2, 58080, Note_on_c, 0, 71, 0
2, 58080, Note_on_c, 0, 72, 127
2, 58240, Note_on_c, 0, 82, 127
2, 58250, Note_on_c, 0, 72, 0
2, 58400, Note_on_c, 0, 77, 127
2, 58410, Note_on_c, 0, 82, 0
2, 58560, Note_on_c, 0, 87, 127
2, 58570, Note_on_c, 0, 77, 0
2, 59030, Note_on_c, 0, 87, 0
2, 59040, Note_on_c, 0, 85, 127
2, 59120, Note_on_c, 0, 85, 0
2, 59200, Note_on_c, 0, 82, 127
2, 59280, Note_on_c, 0, 82, 0
2, 59280, Note_on_c, 0, 84, 127
2, 60000, Note_on_c, 0, 84, 0
2, 60221, Note_on_c, 0, 87, 127
2, 60240, Note_on_c, 0, 80, 127
2, 60247, Note_on_c, 0, 87, 0
2, 60432, Note_on_c, 0, 80, 0
2, 60480, Note_on_c, 0, 85, 127
2, 60640, Note_on_c, 0, 89, 127
2, 60672, Note_on_c, 0, 85, 0
2, 60800, Note_on_c, 0, 82, 127
2, 60832, Note_on_c, 0, 89, 0
2, 60960, Note_on_c, 0, 87, 127
2, 60992, Note_on_c, 0, 82, 0
2, 61045, Note_on_c, 0, 87, 0
2, 61080, Note_on_c, 0, 85, 127
2, 61140, Note_on_c, 0, 85, 0
2, 61140, Note_on_c, 0, 89, 127
2, 61200, Note_on_c, 0, 89, 0
2, 61200, Note_on_c, 0, 84, 127
2, 61910, Note_on_c, 0, 84, 0
2, 79200, Note_on_c, 0, 82, 127
2, 79284, Note_on_c, 0, 82, 0
2, 79320, Note_on_c, 0, 84, 127
2, 79404, Note_on_c, 0, 84, 0
2, 79440, Note_on_c, 0, 84, 127
2, 79504, Note_on_c, 0, 84, 0
2, 79520, Note_on_c, 0, 81, 127
2, 79584, Note_on_c, 0, 81, 0
2, 79600, Note_on_c, 0, 86, 127
2, 79664, Note_on_c, 0, 86, 0
2, 79680, Note_on_c, 0, 87, 127
2, 79764, Note_on_c, 0, 87, 0
2, 79800, Note_on_c, 0, 79, 127
2, 79884, Note_on_c, 0, 79, 0
2, 79920, Note_on_c, 0, 79, 127
2, 79984, Note_on_c, 0, 79, 0
2, 80000, Note_on_c, 0, 81, 127
2, 80064, Note_on_c, 0, 81, 0
2, 80080, Note_on_c, 0, 77, 127
2, 80144, Note_on_c, 0, 77, 0
2, 80160, Note_on_c, 0, 76, 127
2, 80283, Note_on_c, 0, 76, 0
2, 80320, Note_on_c, 0, 79, 127
2, 80443, Note_on_c, 0, 79, 0
2, 80480, Note_on_c, 0, 79, 127
2, 80603, Note_on_c, 0, 79, 0
2, 80640, Note_on_c, 0, 77, 127
2, 80763, Note_on_c, 0, 77, 0
2, 80800, Note_on_c, 0, 77, 127
2, 80923, Note_on_c, 0, 77, 0
2, 80960, Note_on_c, 0, 82, 127
2, 81083, Note_on_c, 0, 82, 0
2, 81120, Note_on_c, 0, 83, 127
2, 83520, Note_on_c, 0, 83, 0
2, 85920, Note_on_c, 0, 81, 127
2, 86220, Note_on_c, 0, 81, 0
2, 86220, Note_on_c, 0, 79, 127
2, 86270, Note_on_c, 0, 79, 0
2, 86280, Note_on_c, 0, 78, 127
2, 86330, Note_on_c, 0, 78, 0
2, 86340, Note_on_c, 0, 84, 127
2, 86390, Note_on_c, 0, 84, 0
2, 86400, Note_on_c, 0, 74, 127
2, 86470, Note_on_c, 0, 74, 0
2, 86480, Note_on_c, 0, 81, 127
2, 86550, Note_on_c, 0, 81, 0
2, 86560, Note_on_c, 0, 79, 127
2, 86630, Note_on_c, 0, 79, 0
2, 86640, Note_on_c, 0, 83, 127
2, 86678, Note_on_c, 0, 83, 0
2, 86688, Note_on_c, 0, 79, 127
2, 86726, Note_on_c, 0, 79, 0
2, 86736, Note_on_c, 0, 79, 127
2, 86774, Note_on_c, 0, 79, 0
2, 86784, Note_on_c, 0, 81, 127
2, 86822, Note_on_c, 0, 81, 0
2, 86832, Note_on_c, 0, 78, 127
2, 86870, Note_on_c, 0, 78, 0
2, 86976, Note_on_c, 0, 83, 127
2, 87052, Note_on_c, 0, 83, 0
2, 87072, Note_on_c, 0, 76, 127
2, 87148, Note_on_c, 0, 76, 0
2, 87168, Note_on_c, 0, 81, 127
2, 87244, Note_on_c, 0, 81, 0
2, 87264, Note_on_c, 0, 78, 127
2, 87340, Note_on_c, 0, 78, 0
2, 87360, Note_on_c, 0, 90, 127
2, 87446, Note_on_c, 0, 90, 0
2, 87456, Note_on_c, 0, 88, 127
2, 87542, Note_on_c, 0, 88, 0
2, 87552, Note_on_c, 0, 83, 127
2, 87638, Note_on_c, 0, 83, 0
2, 87648, Note_on_c, 0, 86, 127
2, 87734, Note_on_c, 0, 86, 0
2, 87744, Note_on_c, 0, 76, 127
2, 87830, Note_on_c, 0, 76, 0
2, 87840, Note_on_c, 0, 90, 127
2, 87926, Note_on_c, 0, 90, 0
2, 87936, Note_on_c, 0, 88, 127
2, 88022, Note_on_c, 0, 88, 0
2, 88032, Note_on_c, 0, 83, 127
2, 88118, Note_on_c, 0, 83, 0
2, 88128, Note_on_c, 0, 86, 127
2, 88214, Note_on_c, 0, 86, 0
2, 88224, Note_on_c, 0, 76, 127
2, 88304, Note_on_c, 0, 76, 0
2, 88320, Note_on_c, 0, 76, 127
2, 89780, Note_on_c, 0, 76, 0
2, 92160, Note_on_c, 0, 93, 127
2, 92203, Note_on_c, 0, 93, 0
2, 92204, Note_on_c, 0, 98, 127
2, 92247, Note_on_c, 0, 98, 0
2, 92248, Note_on_c, 0, 93, 127
2, 92291, Note_on_c, 0, 93, 0
2, 92292, Note_on_c, 0, 95, 127
2, 92335, Note_on_c, 0, 95, 0
2, 92336, Note_on_c, 0, 96, 127
2, 92379, Note_on_c, 0, 96, 0
2, 92380, Note_on_c, 0, 100, 127
2, 92423, Note_on_c, 0, 100, 0
2, 92424, Note_on_c, 0, 95, 127
2, 92467, Note_on_c, 0, 95, 0
2, 92468, Note_on_c, 0, 95, 127
2, 92511, Note_on_c, 0, 95, 0
2, 92512, Note_on_c, 0, 96, 127
2, 92555, Note_on_c, 0, 96, 0
2, 92556, Note_on_c, 0, 86, 127
2, 92599, Note_on_c, 0, 86, 0
2, 92600, Note_on_c, 0, 93, 127
2, 92640, Note_on_c, 0, 95, 127
2, 92643, Note_on_c, 0, 93, 0
2, 92683, Note_on_c, 0, 95, 0
2, 92684, Note_on_c, 0, 88, 127
2, 92727, Note_on_c, 0, 88, 0
2, 92728, Note_on_c, 0, 88, 127
2, 92771, Note_on_c, 0, 88, 0
2, 92772, Note_on_c, 0, 91, 127
2, 92815, Note_on_c, 0, 91, 0
2, 92816, Note_on_c, 0, 91, 127
2, 92859, Note_on_c, 0, 91, 0
2, 92860, Note_on_c, 0, 98, 127
2, 92903, Note_on_c, 0, 98, 0
2, 92904, Note_on_c, 0, 90, 127
2, 92947, Note_on_c, 0, 90, 0
2, 92948, Note_on_c, 0, 90, 127
2, 92991, Note_on_c, 0, 90, 0
2, 92992, Note_on_c, 0, 93, 127
2, 93035, Note_on_c, 0, 93, 0
2, 93036, Note_on_c, 0, 88, 127
2, 93079, Note_on_c, 0, 88, 0
2, 93080, Note_on_c, 0, 83, 127
2, 93120, Note_on_c, 0, 93, 127
2, 93123, Note_on_c, 0, 83, 0
2, 93190, Note_on_c, 0, 93, 0
2, 93280, Note_on_c, 0, 84, 127
2, 93350, Note_on_c, 0, 84, 0
2, 93440, Note_on_c, 0, 84, 127
2, 93510, Note_on_c, 0, 84, 0
2, 93600, Note_on_c, 0, 91, 127
2, 94560, Note_on_c, 0, 91, 0
2, 94800, Note_on_c, 0, 87, 127
2, 94996, Note_on_c, 0, 90, 76
